timestamp,origem,destino
2025-05-15 13:47:55,3273,5655
2025-05-15 16:21:20,5248,5776
2025-05-15 21:44:47,3010,3276
2025-05-16 14:17:34,4118,1790
2025-05-16 15:05:40,4948,4227
2025-05-16 16:29:40,4005,8818
2025-05-16 22:09:16,7792,5590
2025-05-16 23:32:57,6209,5166
2025-05-17 07:28:37,4149,1777
2025-05-17 14:17:50,2210,8122
2025-05-17 19:37:27,7624,8437
2025-05-17 21:09:57,5946,3005
2025-05-18 02:32:30,5689,4635
2025-05-18 12:09:32,9377,7628
2025-05-18 19:39:11,2003,1752
2025-05-19 09:52:10,3819,4830
2025-05-19 14:45:35,4945,8064
2025-05-19 20:20:06,7741,2061
2025-05-19 22:41:39,6574,7054
2025-05-20 05:04:59,4405,1533
2025-05-20 06:12:48,2625,6142
2025-05-20 17:54:53,9321,8962
2025-05-21 01:51:59,4021,9187
2025-05-21 03:23:35,6322,9769
2025-05-21 10:01:34,551,2122
2025-05-21 17:11:48,7528,5003
2025-05-21 21:26:01,1300,3084
2025-05-22 02:35:32,4737,7291
2025-05-22 03:55:18,7976,7634
2025-05-22 07:58:16,1590,8167
2025-05-22 18:58:04,4224,8018
2025-05-23 13:17:32,9509,7714
2025-05-24 15:40:37,4051,3488
2025-05-25 03:37:02,4805,8118
2025-05-25 06:41:49,7062,5363
2025-05-25 15:27:37,1613,2112
2025-05-25 19:40:49,7812,8368
2025-05-25 21:55:55,8378,8318
2025-05-26 14:21:19,7755,951
2025-05-26 14:46:11,7600,8739
2025-05-26 17:24:14,171,3794
2025-05-27 01:23:19,1355,1488
2025-05-27 03:12:27,7100,3932
2025-05-27 12:45:43,1648,1994
2025-05-28 10:06:56,4539,7647
2025-05-28 12:38:39,8630,7525
2025-05-28 14:38:14,6520,8503
2025-05-28 16:53:17,7726,5900
2025-05-28 18:22:19,7505,5023
2025-05-29 01:07:16,6233,9563
2025-05-29 04:49:12,3864,1764
2025-05-29 06:03:18,4435,7529
2025-05-29 07:13:05,1104,8708
2025-05-29 09:47:33,7598,7249
2025-05-29 13:41:38,5614,8383
2025-05-30 00:37:46,6282,4555
2025-05-30 09:32:52,8525,737
2025-05-30 20:57:15,7915,5408
2025-05-31 04:18:50,58,2052
2025-05-31 17:41:31,1573,2463
2025-06-01 18:10:31,2693,149
2025-06-01 20:14:04,1575,311
2025-06-01 23:28:00,4452,7681
2025-06-02 16:35:31,8858,5418
2025-06-02 19:29:38,7750,1722
2025-06-03 01:50:20,6687,9093
2025-06-03 06:29:22,4053,5808
2025-06-03 08:50:15,1901,1294
2025-06-03 23:13:23,6252,5745
2025-06-04 02:07:36,983,8667
2025-06-04 20:23:25,4759,1583
2025-06-05 00:38:48,5257,4716
2025-06-05 03:41:20,8602,8526
2025-06-05 06:42:38,7684,8908
2025-06-05 14:38:49,8103,5963
2025-06-05 15:29:56,179,3018
2025-06-05 19:26:19,1227,3733
2025-06-06 00:49:08,1021,1517
2025-06-06 04:19:59,2088,1480
2025-06-07 13:01:06,5957,4676
2025-06-07 19:58:06,9478,7790
2025-06-08 11:09:17,6007,7390
2025-06-08 18:33:21,1479,2831
2025-06-09 08:11:48,51,4562
2025-06-09 10:14:01,5356,7320
2025-06-10 10:08:51,8299,2738
2025-06-11 01:50:03,7603,710
2025-06-11 10:57:37,1489,6737
2025-06-11 15:20:30,409,6040
2025-06-12 03:36:15,8128,4075
2025-06-12 04:09:38,4778,4438
2025-06-13 07:09:23,4425,3876
2025-06-13 07:16:11,3889,6253
2025-06-13 07:25:04,2951,4241
2025-06-13 16:12:40,8679,8840
2025-06-13 17:10:42,1500,2475
2025-06-14 00:31:21,1301,6998
2025-06-14 07:16:25,8484,2721
2025-06-14 14:46:39,2199,1083
2025-06-14 23:40:58,3133,7345
2025-06-14 23:41:58,4464,8481
2025-06-14 23:46:58,4464,8481
2025-06-14 23:53:58,4464,8481
2025-06-14 23:58:58,8920,1337
2025-06-15 00:08:58,8920,1337
2025-06-15 00:09:58,8920,1337
2025-06-15 00:10:58,1874,2918
2025-06-15 00:17:58,1874,2918
2025-06-15 00:21:58,1874,2918
2025-06-15 00:29:58,6044,8206
2025-06-15 00:34:58,6044,8206
2025-06-15 00:43:58,6044,8206
2025-06-15 00:50:58,4901,3370
2025-06-15 00:58:58,4901,3370
2025-06-15 01:08:58,4901,3370
2025-06-15 01:11:58,8166,947
2025-06-15 01:21:58,8166,947
2025-06-15 01:30:58,8166,947
2025-06-15 01:33:58,2052,1468
2025-06-15 01:35:58,2052,1468
2025-06-15 01:45:58,2052,1468
2025-06-15 01:52:58,5178,4282
2025-06-15 01:56:58,5178,4282
2025-06-15 01:58:58,5178,4282
2025-06-15 02:03:58,3879,4721
2025-06-15 02:13:58,3879,4721
2025-06-15 02:17:58,3879,4721
2025-06-15 02:22:58,6115,9949
2025-06-15 02:26:58,6115,9949
2025-06-15 02:34:58,6115,9949
