timestamp,origem,destino
2025-05-15 01:07:16,8281,4278
2025-05-15 01:33:06,4772,6285
2025-05-15 01:57:10,5691,7558
2025-05-15 05:23:05,6006,5833
2025-05-15 05:57:11,2142,1827
2025-05-15 07:49:30,2222,8638
2025-05-15 11:26:50,2515,1866
2025-05-15 11:37:36,9962,4346
2025-05-15 13:36:35,8817,2911
2025-05-15 16:17:30,2043,2554
2025-05-15 16:31:34,8824,3149
2025-05-15 17:47:58,2224,3380
2025-05-15 17:49:09,2168,6758
2025-05-15 18:17:18,3875,6294
2025-05-15 18:46:56,3981,239
2025-05-15 20:35:29,6613,4588
2025-05-15 20:57:02,8139,5058
2025-05-15 21:23:24,577,4904
2025-05-15 22:37:57,3932,1770
2025-05-15 23:57:46,3950,232
2025-05-16 01:30:06,5557,1431
2025-05-16 05:12:15,4110,4972
2025-05-16 05:52:56,3201,8798
2025-05-16 06:19:55,7156,6845
2025-05-16 07:11:36,5257,3440
2025-05-16 07:34:39,7134,1965
2025-05-16 09:28:15,282,1359
2025-05-16 09:39:21,7491,7785
2025-05-16 09:39:38,4216,5616
2025-05-16 09:43:24,4513,8926
2025-05-16 10:05:50,7706,9919
2025-05-16 10:38:53,8514,9535
2025-05-16 11:42:57,3439,4106
2025-05-16 12:13:38,1439,4829
2025-05-16 12:22:47,8066,9410
2025-05-16 12:41:58,634,5096
2025-05-16 12:44:59,2065,4651
2025-05-16 13:18:16,7763,122
2025-05-16 14:32:52,2488,4232
2025-05-16 14:57:40,6100,7696
2025-05-16 16:39:18,6592,5125
2025-05-16 18:11:13,8265,3218
2025-05-16 18:45:24,1742,8165
2025-05-16 18:45:51,929,5503
2025-05-16 18:48:44,4934,6437
2025-05-16 19:02:35,6376,3076
2025-05-16 19:44:09,368,2243
2025-05-16 19:46:56,6463,3522
2025-05-16 20:11:12,582,2174
2025-05-16 21:05:07,8209,4242
2025-05-16 21:41:14,7259,9175
2025-05-16 23:26:17,7832,984
2025-05-16 23:28:26,8289,304
2025-05-16 23:57:18,556,8024
2025-05-17 01:12:24,8847,3558
2025-05-17 01:21:25,3152,2812
2025-05-17 02:17:21,9162,40
2025-05-17 02:21:45,8955,2612
2025-05-17 02:27:46,9056,5724
2025-05-17 05:06:51,3291,1053
2025-05-17 05:07:06,4977,9542
2025-05-17 06:07:55,7479,4848
2025-05-17 08:55:24,4357,1743
2025-05-17 09:37:37,694,7774
2025-05-17 11:45:08,3460,8461
2025-05-17 12:28:21,3007,3168
2025-05-17 12:28:58,7568,351
2025-05-17 14:27:31,2115,1010
2025-05-17 15:06:18,6985,4491
2025-05-17 15:23:32,202,1425
2025-05-17 16:37:02,539,6815
2025-05-17 16:53:38,3657,7766
2025-05-17 17:47:30,1730,5028
2025-05-17 17:58:38,4048,8956
2025-05-17 18:41:28,1486,5477
2025-05-17 19:09:09,4114,9800
2025-05-17 19:32:33,4925,7888
2025-05-17 23:35:35,2396,1472
2025-05-18 01:39:55,1509,7259
2025-05-18 03:28:38,5689,5981
2025-05-18 03:32:52,8079,6055
2025-05-18 04:05:00,653,8764
2025-05-18 04:12:03,1411,3782
2025-05-18 04:34:28,9591,1138
2025-05-18 04:52:45,6178,2414
2025-05-18 05:13:08,2898,3712
2025-05-18 05:20:54,3834,242
2025-05-18 05:30:39,8534,6441
2025-05-18 08:06:54,9560,8384
2025-05-18 08:09:19,1011,5440
2025-05-18 11:25:57,4075,8550
2025-05-18 11:35:40,6829,4147
2025-05-18 12:10:37,7424,3958
2025-05-18 12:20:37,1121,8066
2025-05-18 12:22:56,5538,95
2025-05-18 12:28:40,9821,4666
2025-05-18 12:30:25,2212,1494
2025-05-18 12:49:00,7010,7229
2025-05-18 12:51:32,6351,3754
2025-05-18 15:41:51,8338,5880
2025-05-18 15:54:20,5043,5967
2025-05-18 16:04:08,4794,8871
2025-05-18 16:30:17,3348,4774
2025-05-18 18:09:04,9207,383
2025-05-18 19:21:14,2230,9207
2025-05-18 20:10:55,4707,293
2025-05-19 00:39:49,1301,4087
2025-05-19 01:37:47,7049,9528
2025-05-19 01:45:14,2668,9808
2025-05-19 02:24:12,375,8984
2025-05-19 03:14:21,6402,6048
2025-05-19 05:40:11,574,2806
2025-05-19 07:56:51,8981,4668
2025-05-19 10:29:06,9653,2516
2025-05-19 11:35:59,3126,9451
2025-05-19 12:27:21,2428,6159
2025-05-19 13:33:19,7974,9645
2025-05-19 13:51:32,3636,3722
2025-05-19 16:41:56,7451,7841
2025-05-19 17:24:23,6998,2848
2025-05-19 18:08:08,393,7531
2025-05-19 18:48:31,2483,1380
2025-05-19 20:26:53,7466,1763
2025-05-19 20:37:07,2844,7977
2025-05-19 20:55:13,9322,4049
2025-05-19 21:39:43,2005,6594
2025-05-19 22:37:33,8462,6715
2025-05-20 01:44:11,501,7732
2025-05-20 01:54:37,8211,293
2025-05-20 02:32:58,8544,1554
2025-05-20 02:45:04,3215,6350
