timestamp,origem,destino
2024-05-15 00:06:49,QGOR,ZUIO
2024-05-15 00:13:03,BZNA,ESSM
2024-05-15 00:18:08,IBOC,YPVV
2024-05-15 00:26:55,FVVA,YRTT
2024-05-15 00:28:10,LHZH,BEGS
2024-05-15 00:30:18,NWLD,WRMU
2024-05-15 00:44:55,KOST,RCNA
2024-05-15 00:45:46,QFVJ,UURU
2024-05-15 00:54:00,GELU,SSIO
2024-05-15 01:01:49,XFZE,BPNI
2024-05-15 01:11:40,PSLJ,SMQH
2024-05-15 01:18:25,WZZG,PUGP
2024-05-15 01:20:41,FEBV,UOYK
2024-05-15 01:28:21,HIWM,HDHE
2024-05-15 01:36:02,CBCH,JTKT
2024-05-15 01:38:19,NQED,ICLV
2024-05-15 01:41:11,KLVI,YYVP
2024-05-15 02:03:31,IDKR,GVOB
2024-05-15 02:04:11,ATNG,OGNI
2024-05-15 02:08:08,PAOX,GYCI
2024-05-15 02:09:12,IJKF,UJXZ
2024-05-15 02:22:27,LWZE,ZCSC
2024-05-15 02:33:41,DSBR,ALNJ
2024-05-15 02:34:19,FQTM,EVMV
2024-05-15 02:35:13,JADL,UJRP
2024-05-15 02:43:51,MDWE,KMYV
2024-05-15 02:43:57,SNQS,YCDO
2024-05-15 02:51:19,WTJE,XQWG
2024-05-15 02:55:21,WVSD,VROX
2024-05-15 03:00:02,CDQO,MQUU
2024-05-15 03:12:55,ZIWC,IZZA
2024-05-15 03:15:44,XUUJ,LFVB
2024-05-15 03:16:44,WMBL,GBFM
2024-05-15 03:21:43,XDDV,LREZ
2024-05-15 03:22:27,IJVE,BEMZ
2024-05-15 03:25:01,AXSY,OOVY
2024-05-15 03:39:49,SZSV,IQVS
2024-05-15 03:47:52,BRTY,URJN
2024-05-15 03:48:57,NUUF,SHQW
2024-05-15 03:50:00,QRDC,TULN
2024-05-15 03:51:54,ELRU,GATO
2024-05-15 03:52:07,IDAK,HSBA
2024-05-15 04:02:21,MQET,KJWZ
