timestamp,origem,destino
2025-05-15 00:01:23,3882,4804
2025-05-15 00:04:23,1017,2889
2025-05-15 00:05:17,2741,4399
2025-05-15 00:06:57,1659,3616
2025-05-15 00:08:10,4520,483
2025-05-15 00:08:48,635,1610
2025-05-15 00:11:04,1673,2553
2025-05-15 00:11:35,3995,1870
2025-05-15 00:13:22,744,743
2025-05-15 00:13:24,4269,3714
2025-05-15 00:13:58,3286,2261
2025-05-15 00:14:01,4229,2549
2025-05-15 00:15:04,3714,2569
2025-05-15 00:18:57,3068,1218
2025-05-15 00:25:05,2901,1439
2025-05-15 00:27:22,1259,264
2025-05-15 00:30:10,320,4111
2025-05-15 00:32:15,4365,2727
2025-05-15 00:36:11,4976,3977
2025-05-15 00:42:58,4357,4856
2025-05-15 00:43:16,4706,288
2025-05-15 00:43:25,1563,3680
2025-05-15 00:46:26,2045,3430
2025-05-15 00:47:53,4943,1173
2025-05-15 00:48:13,4090,1207
2025-05-15 00:48:27,371,3177
2025-05-15 00:48:42,3316,1688
2025-05-15 00:51:05,4229,955
2025-05-15 00:54:13,3678,4067
2025-05-15 00:56:32,2627,244
2025-05-15 00:58:54,2471,705
2025-05-15 00:59:21,1308,3474
2025-05-15 01:02:08,4833,1998
2025-05-15 01:03:14,4825,3028
2025-05-15 01:07:51,4311,2562
2025-05-15 01:09:09,4398,3956
2025-05-15 01:10:29,171,4286
2025-05-15 01:10:49,4460,4143
2025-05-15 01:11:40,137,695
2025-05-15 01:14:09,1889,837
2025-05-15 01:14:35,3633,38
2025-05-15 01:14:49,3719,4783
2025-05-15 01:15:32,1655,2853
2025-05-15 01:16:57,3928,2407
2025-05-15 01:21:35,3452,4642
2025-05-15 01:22:09,859,443
2025-05-15 01:23:06,404,1266
2025-05-15 01:24:13,3206,774
2025-05-15 01:26:51,37,3855
2025-05-15 01:29:03,3251,4084
2025-05-15 01:29:39,522,4860
2025-05-15 01:38:12,1019,1974
2025-05-15 01:38:50,2144,2501
2025-05-15 01:39:10,526,3210
2025-05-15 01:44:42,2203,1485
2025-05-15 01:45:00,2097,1382
2025-05-15 01:48:56,1256,1000
2025-05-15 01:51:19,3968,4096
2025-05-15 01:51:29,2829,2036
2025-05-15 01:52:48,2767,4175
2025-05-15 01:53:40,1671,2855
2025-05-15 01:56:52,3671,2231
2025-05-15 01:57:24,734,2017
2025-05-15 01:57:36,1002,1938
2025-05-15 01:58:05,2521,4944
2025-05-15 01:58:20,4562,260
2025-05-15 01:59:27,461,1992
2025-05-15 02:00:14,2306,1018
2025-05-15 02:01:17,4083,527
2025-05-15 02:02:55,3293,623
2025-05-15 02:16:21,3766,556
2025-05-15 02:17:05,3653,4444
2025-05-15 02:17:35,1187,3637
2025-05-15 02:17:53,3696,2350
2025-05-15 02:18:10,4060,1447
2025-05-15 02:19:48,3218,3626
2025-05-15 02:20:03,682,4556
2025-05-15 02:20:03,4286,4198
2025-05-15 02:22:31,557,2504
2025-05-15 02:22:42,497,2974
2025-05-15 02:24:22,3376,1340
2025-05-15 02:24:28,567,1320
2025-05-15 02:27:16,1435,3242
2025-05-15 02:28:36,2504,4837
2025-05-15 02:31:44,4848,123
2025-05-15 02:32:21,4034,2814
2025-05-15 02:34:17,1361,3527
2025-05-15 02:34:28,3202,1319
2025-05-15 02:34:53,2103,2393
2025-05-15 02:35:17,4584,4694
2025-05-15 02:35:26,2231,1998
2025-05-15 02:36:12,566,1177
2025-05-15 02:36:17,466,2645
2025-05-15 02:37:14,3069,3493
2025-05-15 02:37:42,1648,4342
2025-05-15 02:39:12,2046,554
2025-05-15 02:39:55,2800,1601
2025-05-15 02:43:13,4766,1269
2025-05-15 02:43:31,3287,573
2025-05-15 02:44:03,3027,3410
2025-05-15 02:46:55,3671,2572
2025-05-15 02:49:22,2054,3986
2025-05-15 02:49:38,1827,2980
2025-05-15 02:50:35,1064,1800
2025-05-15 02:54:22,4908,832
2025-05-15 02:56:25,1997,4259
