timestamp,origem,destino
2025-05-15 00:23:38,998,4112
2025-05-15 00:38:56,4642,4249
2025-05-15 01:21:15,2360,2754
2025-05-15 02:35:48,2991,3557
2025-05-15 02:47:16,3603,821
2025-05-15 02:57:22,609,2101
2025-05-15 03:17:55,2721,348
2025-05-15 03:25:27,3282,1360
2025-05-15 03:27:29,4992,4211
2025-05-15 03:46:30,2690,3843
2025-05-15 03:57:09,332,183
2025-05-15 04:15:44,3715,2548
2025-05-15 04:23:43,133,728
2025-05-15 04:47:03,4888,1963
2025-05-15 05:03:11,3129,1281
2025-05-15 06:14:25,2052,1241
2025-05-15 06:41:39,3481,2864
2025-05-15 06:43:48,2392,342
2025-05-15 06:48:41,4546,173
2025-05-15 06:50:04,2241,2420
2025-05-15 07:02:51,1588,1997
2025-05-15 07:41:38,1673,790
2025-05-15 07:57:46,649,3782
2025-05-15 08:06:06,2476,1519
2025-05-15 08:16:54,1922,4011
2025-05-15 08:22:02,3255,3256
2025-05-15 08:22:19,1433,2567
2025-05-15 08:27:21,1791,652
2025-05-15 08:29:21,2298,1216
2025-05-15 08:29:50,4068,4407
2025-05-15 08:48:51,3284,736
2025-05-15 09:07:21,4077,344
2025-05-15 09:21:32,3139,2422
2025-05-15 09:51:16,3228,4619
2025-05-15 10:12:37,2723,2020
2025-05-15 10:20:20,2214,1833
2025-05-15 10:26:06,172,4582
2025-05-15 10:30:10,2387,4163
2025-05-15 11:11:38,4728,2030
2025-05-15 11:20:50,4098,476
2025-05-15 11:25:15,3044,2457
2025-05-15 11:25:57,680,122
2025-05-15 11:26:46,4177,2832
2025-05-15 11:53:51,4268,2712
2025-05-15 11:55:46,74,3773
2025-05-15 12:47:05,1342,34
2025-05-15 12:52:52,651,4446
2025-05-15 13:31:55,4759,2188
2025-05-15 13:35:42,2202,688
2025-05-15 13:40:00,4293,1825
2025-05-15 13:59:44,4730,3358
2025-05-15 14:00:02,1705,617
2025-05-15 14:39:34,3702,805
2025-05-15 14:45:49,550,3219
2025-05-15 15:18:21,3168,3069
2025-05-15 15:25:03,3594,2922
2025-05-15 16:21:09,4082,2860
2025-05-15 16:25:18,4171,331
2025-05-15 16:29:26,4859,2189
2025-05-15 16:31:14,4506,1235
2025-05-15 16:33:04,1313,4796
2025-05-15 16:48:33,2061,4475
2025-05-15 16:56:03,1880,3825
2025-05-15 17:20:13,170,3058
2025-05-15 17:27:27,3167,3899
2025-05-15 17:28:27,445,4113
2025-05-15 17:37:35,1753,405
2025-05-15 18:12:31,1438,2668
