timestamp,origem,destino
2025-05-15 00:00:33,1575,559
2025-05-15 00:02:42,4225,4385
2025-05-15 00:03:26,4377,3518
2025-05-15 00:03:51,680,829
2025-05-15 00:04:30,189,2744
2025-05-15 00:05:46,1160,3235
2025-05-15 00:07:40,1836,4927
2025-05-15 00:08:59,1792,4132
2025-05-15 00:11:18,3154,917
2025-05-15 00:14:01,499,2754
2025-05-15 00:24:34,349,3447
2025-05-15 00:24:39,765,2621
2025-05-15 00:26:32,2682,1814
2025-05-15 00:28:09,1299,3518
2025-05-15 00:28:28,413,1493
2025-05-15 00:28:52,2789,3798
2025-05-15 00:38:22,3233,3148
2025-05-15 00:39:15,675,688
2025-05-15 00:39:40,463,4446
2025-05-15 00:40:49,3993,1447
2025-05-15 00:40:58,2953,935
2025-05-15 00:46:11,2605,404
2025-05-15 00:51:00,4047,2800
2025-05-15 00:53:17,741,167
2025-05-15 00:53:20,3480,1110
2025-05-15 00:57:20,2127,1871
2025-05-15 01:00:23,1924,4608
2025-05-15 01:00:30,2878,640
2025-05-15 01:01:11,1535,3687
2025-05-15 01:04:25,4898,223
2025-05-15 01:05:36,810,1177
2025-05-15 01:07:06,1946,2487
2025-05-15 01:08:47,4595,1259
2025-05-15 01:09:47,2300,2075
2025-05-15 01:16:53,4996,4874
2025-05-15 01:18:24,142,4366
2025-05-15 01:19:27,3259,3531
2025-05-15 01:20:27,2489,3174
2025-05-15 01:20:39,1449,596
2025-05-15 01:24:23,535,415
2025-05-15 01:26:29,4606,3893
2025-05-15 01:26:36,3904,117
2025-05-15 01:26:40,2321,1678
2025-05-15 01:27:17,4583,3065
2025-05-15 01:28:47,3737,591
2025-05-15 01:30:23,234,1118
2025-05-15 01:36:45,2761,1011
2025-05-15 01:38:16,3606,3534
2025-05-15 01:44:09,4989,697
2025-05-15 01:48:29,1175,2296
2025-05-15 01:49:33,437,3021
2025-05-15 01:52:37,4638,82
2025-05-15 01:54:10,3734,684
2025-05-15 01:55:16,3476,4992
2025-05-15 01:56:44,2589,3026
2025-05-15 01:57:46,1630,1897
2025-05-15 01:57:48,3786,2913
2025-05-15 01:59:20,579,3106
2025-05-15 02:03:45,1301,3404
2025-05-15 02:10:44,3890,4108
2025-05-15 02:12:42,4056,959
2025-05-15 02:12:44,2368,3034
2025-05-15 02:12:51,3767,1150
2025-05-15 02:12:53,895,2774
2025-05-15 02:25:36,3406,358
2025-05-15 02:27:47,2429,1503
2025-05-15 02:28:08,2273,1041
2025-05-15 02:32:21,1388,4806
2025-05-15 02:33:00,975,2333
2025-05-15 02:33:03,869,3135
2025-05-15 02:37:36,875,3347
2025-05-15 02:41:06,4883,1515
2025-05-15 02:41:10,1080,4695
2025-05-15 02:43:05,3916,1633
2025-05-15 02:44:24,2441,1531
2025-05-15 02:44:38,213,2662
2025-05-15 02:45:36,4457,515
2025-05-15 02:49:22,1611,83
2025-05-15 02:50:13,4832,3422
2025-05-15 02:51:56,3708,4122
2025-05-15 02:52:42,998,388
2025-05-15 02:53:39,4255,4569
2025-05-15 02:59:27,192,730
2025-05-15 03:00:18,4833,3265
2025-05-15 03:04:16,739,3114
2025-05-15 03:04:53,1030,3545
2025-05-15 03:10:13,3033,670
2025-05-15 03:11:14,592,3630
2025-05-15 03:11:31,2968,3046
2025-05-15 03:12:06,2809,773
2025-05-15 03:13:42,4488,1584
2025-05-15 03:15:01,1930,2267
2025-05-15 03:15:11,1144,977
2025-05-15 03:17:08,3366,3976
2025-05-15 03:17:48,4828,2835
2025-05-15 03:21:26,987,3893
2025-05-15 03:21:31,892,4940
2025-05-15 03:22:52,1190,2487
2025-05-15 03:26:55,4753,780
2025-05-15 03:28:21,4792,4705
2025-05-15 03:28:55,4757,216
2025-05-15 03:30:04,4489,1348
2025-05-15 03:31:08,4317,3161
2025-05-15 03:32:50,3074,3553
2025-05-15 03:34:14,1050,2346
2025-05-15 03:34:47,4725,1162
2025-05-15 03:38:00,1655,181
2025-05-15 03:40:22,3347,791
2025-05-15 03:41:15,2773,4489
2025-05-15 03:42:44,3218,3925
2025-05-15 03:45:05,1848,210
2025-05-15 03:45:48,4293,4801
2025-05-15 03:46:45,1289,263
2025-05-15 03:47:55,3183,1419
2025-05-15 03:51:02,2813,2988
2025-05-15 03:52:04,442,2154
2025-05-15 03:52:09,514,431
2025-05-15 03:57:33,3290,623
2025-05-15 03:58:36,2596,1794
2025-05-15 03:59:08,221,1295
2025-05-15 03:59:12,1460,2217
2025-05-15 04:02:37,1273,2928
2025-05-15 04:05:03,200,2674
2025-05-15 04:05:36,4587,3438
2025-05-15 04:07:03,1854,4064
2025-05-15 04:12:13,4018,2123
2025-05-15 04:13:56,1222,1013
2025-05-15 04:13:58,4320,434
2025-05-15 04:15:16,511,3554
2025-05-15 04:15:45,2924,4267
2025-05-15 04:18:39,752,3026
2025-05-15 04:19:48,4100,302
2025-05-15 04:20:16,2083,3335
2025-05-15 04:20:28,2114,2144
2025-05-15 04:21:50,1770,4476
2025-05-15 04:23:02,1749,3352
2025-05-15 04:25:24,486,2986
2025-05-15 04:27:22,2911,4265
2025-05-15 04:30:09,4251,1237
2025-05-15 04:33:23,564,1753
2025-05-15 04:35:13,4020,2433
2025-05-15 04:37:42,4785,4112
2025-05-15 04:40:39,1476,3691
2025-05-15 04:42:10,633,429
2025-05-15 04:44:33,4229,4264
2025-05-15 04:45:19,1128,4700
2025-05-15 04:46:15,2605,355
2025-05-15 04:46:50,4581,4629
2025-05-15 04:47:03,4841,2834
2025-05-15 04:47:49,4209,4415
2025-05-15 04:48:18,4727,2271
2025-05-15 04:50:17,466,3221
2025-05-15 04:51:45,3285,647
2025-05-15 04:53:35,1314,2225
2025-05-15 04:53:47,3468,3600
2025-05-15 04:53:50,1071,4430
2025-05-15 04:55:37,507,4106
2025-05-15 04:58:27,433,773
2025-05-15 04:58:48,3249,3246
2025-05-15 05:04:16,4179,2773
2025-05-15 05:04:18,4933,2301
2025-05-15 05:04:30,4237,1833
2025-05-15 05:06:47,3440,2855
2025-05-15 05:09:47,1693,3956
2025-05-15 05:10:00,1285,3192
2025-05-15 05:10:20,4859,906
2025-05-15 05:10:40,4978,183
2025-05-15 05:10:42,697,4404
2025-05-15 05:12:22,1032,796
2025-05-15 05:13:09,1566,594
2025-05-15 05:15:11,1856,2825
2025-05-15 05:16:08,3214,922
2025-05-15 05:18:53,2715,4499
2025-05-15 05:26:19,923,4343
2025-05-15 05:27:33,2145,4549
2025-05-15 05:28:42,1075,4626
2025-05-15 05:30:10,1495,4145
2025-05-15 05:30:26,4192,3850
2025-05-15 05:34:13,4119,3238
2025-05-15 05:34:48,3048,293
2025-05-15 05:34:59,4181,498
2025-05-15 05:35:34,136,3078
2025-05-15 05:35:38,2810,140
2025-05-15 05:35:43,1755,3324
2025-05-15 05:38:25,4129,1751
2025-05-15 05:38:46,4577,2892
2025-05-15 05:40:02,4216,4092
2025-05-15 05:42:30,3684,4092
2025-05-15 05:42:30,3365,2757
2025-05-15 05:46:07,3555,3625
2025-05-15 05:50:47,4455,689
2025-05-15 05:53:17,3749,4549
2025-05-15 05:55:09,4291,2835
2025-05-15 05:56:16,902,3188
2025-05-15 05:58:28,4305,695
2025-05-15 05:58:42,3949,843
2025-05-15 06:04:22,4036,4610
2025-05-15 06:06:13,2839,1547
2025-05-15 06:07:35,3866,34
2025-05-15 06:07:45,4679,634
2025-05-15 06:09:02,3453,2009
2025-05-15 06:09:44,4707,1785
2025-05-15 06:10:53,3200,3889
2025-05-15 06:11:25,1638,3876
2025-05-15 06:12:33,135,3288
2025-05-15 06:13:00,1923,4525
2025-05-15 06:14:17,797,1118
2025-05-15 06:17:31,3055,2460
2025-05-15 06:18:14,117,1851
2025-05-15 06:18:42,4748,4344
2025-05-15 06:22:06,1786,3767
2025-05-15 06:22:12,3507,4358
2025-05-15 06:22:31,4735,2111
2025-05-15 06:22:41,4886,1069
2025-05-15 06:26:33,347,2800
2025-05-15 06:31:38,3397,4961
2025-05-15 06:34:01,191,1256
2025-05-15 06:35:01,667,2750
2025-05-15 06:39:04,1340,3648
2025-05-15 06:39:13,2466,4198
2025-05-15 06:41:06,1290,4088
2025-05-15 06:41:37,682,4574
2025-05-15 06:42:35,2325,2408
2025-05-15 06:43:02,1327,4158
2025-05-15 06:43:44,801,2363
2025-05-15 06:43:59,2278,3847
2025-05-15 06:44:32,3021,4108
2025-05-15 06:47:17,4232,1752
2025-05-15 06:48:07,2837,736
2025-05-15 06:50:16,541,1600
2025-05-15 06:54:27,3722,4834
2025-05-15 06:54:32,4407,3275
2025-05-15 06:54:45,165,2019
2025-05-15 06:56:59,3137,1903
2025-05-15 06:58:32,3930,2428
2025-05-15 06:58:57,3605,722
2025-05-15 07:01:42,2096,1293
2025-05-15 07:06:14,3422,2701
2025-05-15 07:07:17,2454,4808
2025-05-15 07:08:38,277,3983
2025-05-15 07:08:40,4752,2194
2025-05-15 07:09:11,1089,184
2025-05-15 07:12:49,4709,2538
2025-05-15 07:14:14,1389,4632
2025-05-15 07:16:55,1381,1773
2025-05-15 07:17:34,1431,1632
2025-05-15 07:21:23,2062,1574
2025-05-15 07:22:40,3037,1453
2025-05-15 07:23:04,3635,4550
2025-05-15 07:25:45,2563,2623
2025-05-15 07:27:46,3965,488
2025-05-15 07:29:15,4744,714
2025-05-15 07:31:46,2271,2206
2025-05-15 07:32:11,1947,2968
2025-05-15 07:34:59,490,1473
2025-05-15 07:37:22,4974,1743
2025-05-15 07:43:33,3203,3585
2025-05-15 07:46:05,2134,1431
2025-05-15 07:46:24,1450,3538
2025-05-15 07:46:24,2219,962
2025-05-15 07:49:48,3936,2910
2025-05-15 07:51:14,3728,1067
2025-05-15 07:52:09,2563,1038
2025-05-15 07:52:49,1786,3806
2025-05-15 07:53:08,876,123
2025-05-15 07:53:30,2277,715
2025-05-15 07:54:01,3773,4301
2025-05-15 07:54:32,1922,3808
2025-05-15 07:54:47,1392,4784
2025-05-15 07:55:23,1395,1463
2025-05-15 07:59:04,3730,1743
2025-05-15 08:03:35,2990,1844
2025-05-15 08:04:30,4127,407
2025-05-15 08:05:27,3500,4715
2025-05-15 08:09:47,3187,1018
2025-05-15 08:12:44,4826,4169
2025-05-15 08:13:19,2025,3091
2025-05-15 08:24:32,2055,4117
2025-05-15 08:24:56,279,1627
2025-05-15 08:29:00,4913,4910
2025-05-15 08:30:43,4847,4924
2025-05-15 08:32:20,1082,1345
2025-05-15 08:32:28,4984,3421
2025-05-15 08:32:45,2187,2335
2025-05-15 08:33:05,3605,4798
2025-05-15 08:33:10,1816,4761
2025-05-15 08:34:12,2465,3090
2025-05-15 08:35:09,3011,3562
2025-05-15 08:35:45,4640,2923
2025-05-15 08:38:14,3469,1625
2025-05-15 08:42:42,1474,2144
2025-05-15 08:43:52,261,3368
2025-05-15 08:44:39,4832,4063
2025-05-15 08:45:22,884,1348
2025-05-15 08:47:27,2081,2860
2025-05-15 08:47:47,4356,1844
