timestamp,origem,destino
2025-04-02 02:38:25,1674,5155
2025-04-02 08:34:09,31,6901
2025-04-02 12:35:06,8185,2364
2025-04-02 15:15:53,1077,59
2025-04-02 19:15:38,7796,1561
2025-04-02 19:15:54,3008,5694
2025-04-03 06:28:13,682,3368
2025-04-03 16:58:12,1050,3955
2025-04-04 00:34:28,6743,2583
2025-04-04 13:50:21,4681,3290
2025-04-04 23:51:16,8336,4475
2025-04-05 01:11:43,7741,5482
2025-04-05 17:09:51,8894,2708
2025-04-05 20:36:51,3411,434
2025-04-06 05:27:46,8497,4331
2025-04-06 17:52:16,1836,2938
2025-04-07 05:28:52,1975,2731
2025-04-07 21:15:40,4162,8189
2025-04-08 00:29:28,4686,2638
2025-04-08 13:20:31,233,3334
2025-04-08 19:16:40,1752,6891
2025-04-08 20:37:36,8723,3909
2025-04-10 21:14:12,3613,4079
2025-04-11 04:48:54,38,252
2025-04-11 15:23:52,4706,3056
2025-04-12 08:45:25,4821,5418
2025-04-12 19:40:43,2618,6975
2025-04-13 17:10:57,7730,3847
2025-04-15 03:44:59,5452,6243
2025-04-15 04:04:22,2795,5818
2025-04-15 13:00:36,8268,2191
2025-04-15 14:54:00,6045,239
2025-04-15 16:24:34,4140,666
2025-04-16 00:58:09,5951,1847
2025-04-16 07:09:51,7366,7734
2025-04-16 23:45:47,8127,4333
2025-04-17 04:48:29,8440,6780
2025-04-18 23:02:55,3567,3523
2025-04-19 00:42:41,1036,2475
2025-04-20 03:04:48,7141,6624
2025-04-20 16:46:56,1347,5499
2025-04-21 06:28:01,3789,993
2025-04-21 21:55:32,2902,3462
2025-04-22 09:16:00,4267,3892
2025-04-23 04:53:32,3145,6338
2025-04-23 20:06:16,7951,7557
2025-04-23 22:36:23,7503,3699
2025-04-24 04:29:03,6737,1742
2025-04-24 06:05:34,8065,5086
2025-04-25 10:17:16,8245,4587
2025-04-25 15:07:07,4998,6751
2025-04-25 17:37:09,6534,5424
2025-04-25 21:40:01,4943,3300
2025-04-26 02:49:27,8923,1447
2025-04-26 17:28:25,196,8614
2025-04-27 18:37:50,6350,3508
2025-04-29 04:38:44,2738,138
2025-04-30 14:36:35,1799,1788
2025-05-01 05:44:17,8829,2651
2025-05-01 18:09:49,7746,1608
2025-05-02 08:35:14,7055,8436
2025-05-02 23:09:55,6646,5009
2025-05-03 13:35:58,2596,7117
2025-05-03 19:34:08,7339,3590
2025-05-04 00:23:26,574,879
2025-05-04 07:19:14,1326,1811
2025-05-05 12:08:21,1893,5702
2025-05-05 14:01:03,1412,3365
2025-05-06 14:22:48,3534,8647
2025-05-07 00:00:04,2407,4559
2025-05-07 03:32:12,7775,5558
2025-05-08 11:43:36,8540,4774
2025-05-09 05:14:18,495,3944
2025-05-09 06:30:51,5060,1769
2025-05-09 13:42:38,8597,8653
2025-05-09 15:01:12,8025,3840
2025-05-09 22:03:11,5612,7201
2025-05-10 03:33:49,8325,1673
2025-05-10 23:40:31,3923,7434
2025-05-12 05:36:54,672,78
2025-05-12 18:29:33,6284,8128
2025-05-14 05:30:07,4832,8462
2025-05-14 08:26:51,7721,8244
2025-05-14 16:39:01,8819,4567
2025-05-14 20:28:05,7646,8854
2025-05-16 07:28:58,5048,4442
2025-05-16 20:04:04,2773,8724
2025-05-17 06:26:26,2018,5249
2025-05-17 06:43:52,7688,5139
2025-05-18 01:52:07,440,8447
2025-05-18 11:45:10,6683,236
2025-05-18 22:12:41,945,4726
2025-05-19 20:59:00,5752,5615
2025-05-20 03:45:15,4327,8367
2025-05-20 11:53:13,8009,2512
2025-05-20 22:36:29,8818,121
2025-05-21 07:41:56,7077,6802
2025-05-22 02:55:23,4898,7063
2025-05-22 11:36:59,4579,3401
2025-05-22 18:14:45,2749,1247
2025-05-23 05:31:45,6797,6143
2025-05-23 10:44:10,4371,8596
2025-05-24 01:24:27,3805,7636
2025-05-24 13:31:06,3841,4796
2025-05-26 04:29:58,7743,752
2025-05-27 03:03:30,667,4459
2025-05-27 09:18:57,5718,8798
2025-05-27 15:52:19,4115,6731
2025-05-27 19:47:37,2751,923
2025-05-28 12:36:15,4486,6175
2025-05-29 00:31:27,5182,8030
2025-05-29 09:45:01,8224,8126
2025-05-29 21:38:22,5562,2712
2025-05-30 07:59:19,4758,7951
2025-05-30 21:35:40,2285,5664
